id_number,firstname,middle_initial,last_name,course,year,email_address,contact_number
1,Willard,L,Willis,BSCS,4,WillardLWillis@superrito.com,(02) 6776 0667
8,Sherilyn,F,Augustine,BSCS,1,SherilynFAugustine@rhyta.com,(03) 5323 8187
15,Daniel,A,Simas,BSIS,2,DanielASimas@rhyta.com,(03) 8699 9678
22,Richard,C,Carnes,BSIS,2,RichardCCarnes@superrito.com,(02) 6174 6251
29,Lowell,R,Swaim,BSCS,4,LowellRSwaim@teleworm.us,(03) 5348 3720
36,Elaine,C,Donnelly,BSCS,3,ElaineCDonnelly@jourrapide.com,(02) 4300 2826
43,Diana,S,Black,BSIT,1,DianaSBlack@armyspy.com,(03) 5369 9393
50,Stella,T,Woods,BSCS,2,StellaTWoods@rhyta.com,(07) 5394 1260
57,Carrie,R,Collins,BSIT,2,CarrieRCollins@teleworm.us,(07) 4055 1589
64,Lance,L,Saylor,BSIT,3,LanceLSaylor@teleworm.us,(02) 4303 0054
71,Betty,J,Sweeney,BSIS,3,BettyJSweeney@gustr.com,(07) 4515 8236
78,Greg,A,Williams,BSCS,4,GregAWilliams@fleckens.hu,(02) 6777 7614
85,Ian,J,Davis,BSCS,3,IanJDavis@superrito.com,(08) 8337 4474
92,Magdalena,N,Corcoran,BSIT,2,MagdalenaNCorcoran@jourrapide.com,(07) 3802 7761
99,Gilberto,H,Harkins,BSIT,1,GilbertoHHarkins@gustr.com,(08) 9022 5871
106,Paul,F,Proctor,BSCS,1,PaulFProctor@dayrep.com,(07) 3519 9299
113,Pearl,J,Hare,BSIT,3,PearlJHare@rhyta.com,(03) 5389 3336
120,Shawna,E,Hutchison,BSCS,4,ShawnaEHutchison@armyspy.com,(02) 6775 0483
127,Brice,E,Jefferson,BSCS,4,BriceEJefferson@einrot.com,(03) 9239 0157
134,Richard,C,Jones,BSCS,3,RichardCJones@fleckens.hu,(02) 4663 6982
141,Anne,W,Cannon,BSIS,4,AnneWCannon@superrito.com,(07) 4585 6586
148,Ryan,C,Grim,BSIT,4,RyanCGrim@superrito.com,(07) 4550 4535
155,John,T,Francis,BSIS,3,JohnTFrancis@dayrep.com,(02) 4981 9689
162,Amy,G,Gates,BSCS,3,AmyGGates@einrot.com,(07) 3792 5767
169,Roosevelt,S,Calvert,BSIT,3,RooseveltSCalvert@einrot.com,(03) 5338 1152
176,Ted,S,Goodloe,BSIS,1,TedSGoodloe@dayrep.com,(02) 4014 7161
183,Suzanne,B,Eckert,BSIT,1,SuzanneBEckert@gustr.com,(08) 8371 3028
190,Denise,O,Wilkinson,BSIS,3,DeniseOWilkinson@superrito.com,(08) 9012 2613
197,Marline,R,Young,BSIT,2,MarlineRYoung@fleckens.hu,(08) 8703 3094
204,Christine,W,Rector,BSCS,1,ChristineWRector@superrito.com,(07) 5384 2032
211,Jerry,L,Schaeffer,BSIT,1,JerryLSchaeffer@armyspy.com,(02) 6765 5050
218,Cynthia,W,Hart,BSCS,1,CynthiaWHart@gustr.com,(02) 6734 1217
225,Michael,J,Matheny,BSIT,4,MichaelJMatheny@superrito.com,(02) 6122 1369
